model,patient,threshold,fp_per_hour,sensitivity,precision
logistic,18,0.6761480158849607,75.0104181136269,0.6083916083916084,0.4742990654205608
logistic,18,0.6755031139209776,75.39936102236422,0.6083916083916084,0.4730097087378641
logistic,18,0.6754612940664555,75.39936102236422,0.6088911088911089,0.4732142857142857
logistic,18,0.6754338553241209,75.51048756771775,0.6088911088911089,0.47284716834755625
logistic,18,0.6753603296951383,75.51048756771775,0.6093906093906094,0.4730515703761148
logistic,18,0.6750875425313453,75.67717738574802,0.6093906093906094,0.47250193648334626
logistic,18,0.6750659762554959,75.67717738574802,0.6098901098901099,0.4727061556329849
logistic,18,0.6742739147103098,76.0105570218086,0.6098901098901099,0.4716106604866744
logistic,18,0.6742397042656731,76.0105570218086,0.6103896103896104,0.4718146718146718
logistic,18,0.6734664849935861,76.28837338519239,0.6103896103896104,0.4709055876685935
logistic,18,0.6729196203133443,76.28837338519239,0.6113886113886113,0.4713130535232961
logistic,18,0.6728293496105892,76.39949993054591,0.6113886113886113,0.470950365525202
logistic,18,0.6725950334086244,76.39949993054591,0.6118881118881119,0.47115384615384615
logistic,18,0.6716018710034766,76.73287956660648,0.6118881118881119,0.47006907137375287
logistic,18,0.6714352659362465,76.73287956660648,0.6123876123876124,0.4702723436900652
logistic,18,0.671329889613044,76.78844283928323,0.6123876123876124,0.4700920245398773
logistic,18,0.67126958271851,76.78844283928323,0.6128871128871128,0.47029513223457264
logistic,18,0.6700615739922088,77.28851229337408,0.6128871128871128,0.46867838044308635
logistic,18,0.6699731230712132,77.28851229337408,0.6133866133866134,0.46888125238640704
logistic,18,0.6667297094909169,78.73315738296986,0.6133866133866134,0.46427221172022687
logistic,18,0.6666622864018228,78.73315738296986,0.6138861138861139,0.46447467876039306
logistic,18,0.6645825347476211,80.06667592721212,0.6138861138861139,0.4602996254681648
logistic,18,0.6645447436362356,80.06667592721212,0.6143856143856143,0.46050168476226133
logistic,18,0.664431281416368,80.12223919988888,0.6143856143856143,0.46032934131736525
logistic,18,0.6644165561476661,80.12223919988888,0.6148851148851149,0.4605312383090161
logistic,18,0.6579422538389231,82.62258647034311,0.6148851148851149,0.452906548933039
logistic,18,0.6573633258527319,82.62258647034311,0.6153846153846154,0.45310776020595805
